Finesecur/Voie	Parametres	V/VoieNom	V/VoieNumero	V/BusNumero	V/VoiePosition
DAS_0_1	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	ZDM2 GARAGE	1	0	1/1
DAS_1_2	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	ZDM1 PARKING COTE ESCALIER OUEST	2	1	1/1
DAS_2_3	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	ZDM1 PARKING COTE ESCALIER PRINCIPALE	3	2	1/1
DAS_3_4	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	ZDM1 PARKING COTE ESCALIER NORD	4	3	1/1
DAS_4_5	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	SURVEILLANCE AES	5	4	1/1
DAS_5_1	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	SIRENES BATIMENT GARAGE	1	5	2/1
DAS_6_2	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	SIRENES PARKING COTE ESCALIER OUEST	2	6	2/1
DAS_7_3	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	SIRENES PARKING COTE ESCALIER PRINCIPALE	3	7	2/1
DAS_8_4	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	SIRENES PARKING COTE ESCALIER NORD	4	8	2/1
DAS_10_1	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	PANNEAU EXTERIEUR PARKING	1	10	2/2
DAS_11_2	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	DM CAISSE PARKING RDC	2	11	2/2
DAS_12_3	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	SIRENES GARAGE	3	12	2/2
DAS_13_4	/Finesecur/DAS/SDI_AUDIBERGUE_FINSECUR	AES passerelle UAE	4	13	2/2
